adm4Pcode,adm4NameLa,adm3NameLa,adm2NameLa,adm1NameLa,Population,codeName_3,POINT_X,POINT_Y
UKR4410346200,Kamiane,Kamianska,Antratsytska,Luhanska,2727,urban type village,39.16576136,48.16674329
UKR4411446500,Sievernyi,Sieverna,Krasnodonska,Luhanska,1894,urban type village,39.91822672,48.35715597
UKR4411470400,Molodohvardiisk,Molodohvardiiska,Krasnodonska,Luhanska,23332,city,39.65596454,48.34669198
UKR4420355900,Krasnyi Kut,Krasnokutska,Antratsytivskyi,Luhanska,2474,urban type village,38.80111907,48.19112043
UKR4420689201,Pluhatar,Pluhatarska,Bilovodskyi,Luhanska,628,village,39.735546,49.23024527
UKR4412746300,Valianivske,Leninska,Sverdlovska,Luhanska,3374,urban type village,39.55880408,48.07679551
UKR4424880501,Valuiske,Valuiska,Stanychno-Luhanskyi,Luhanska,3996,village,39.5268925,48.64842673
UKR4420688503,Nyzhnobaranykivka,Nyzhnobaranykivska,Bilovodskyi,Luhanska,600,village,39.82876575,49.07240787
UKR4425182501,Nyzhnopokrovka,Nyzhnopokrovska,Starobilskyi,Luhanska,779,village,38.6381845,49.20992946
UKR4424086001,Preobrazhenne,Preobrazhenska,Svativskyi,Luhanska,906,village,38.152763,49.52253451
UKR4421686501,Novomykilske,Novomykilska,Kreminskyi,Luhanska,1262,village,38.18096993,49.29463091
UKR4420688801,Novooleksandrivka,Novooleksandrivska,Bilovodskyi,Luhanska,1128,village,39.28333066,49.13289078
UKR4421681001,Varvarivka,Varvarivska,Kreminskyi,Luhanska,1552,village,38.41603575,49.07372644
UKR4423656700,Seleznivka,Seleznivska,Perevalskyi,Luhanska,2530,urban type village,38.79100035,48.39605218
UKR4421456500,Simeikyne,Simeikynska,Sorokynskyi,Luhanska,2278,urban type village,39.53403772,48.32953046
UKR4424555100,Slovianoserbsk,Slovianoserbska,Slovianoserbskyi,Luhanska,8086,urban type village,38.98061016,48.69667746
UKR4423383501,Novobila,Novobilianska,Novopskovskyi,Luhanska,2040,village,39.193615,49.76326478
UKR4425184501,Polovynkyne,Polovynkynska,Starobilskyi,Luhanska,2913,village,38.92111646,49.22453385
